ptpd2:
   -gGW          Protocol mode (slave/master with ntp/master without ntp)
   -b <dev>      Interface to use

   -cC  -DVfS    Console / verbose console;     Dump stats / Interval / Output file / no Syslog
   -uU           Unicast/Hybrid mode


   -hHB           Summary / Complete help file / run-time debug level

ERROR: Please run this daemon as root

# Timestamp, State, Clock ID, One Way Delay, Offset From Master, Slave to Master, Master to Slave, Drift, Discarded Packet Count, Last packet Received
2013-09-12 12:12:47.021235, init, 
2013-09-12 12:12:47.086409, lstn_init,  1 
2013-09-12 12:12:59.085927, lstn_init,  1 
2013-09-12 12:13:11.086017, lstn_init,  1 
2013-09-12 12:14:37.946237, slv, 002215fffe2eecc9(unknown)/01,  0.000268674,  10.590646701, -10.590390663,  10.590915375, 0, -75, S
2013-09-12 12:14:38.273713, slv, 002215fffe2eecc9(unknown)/01,  0.000268825,  10.590646701, -10.590391245,  10.590915375, 0, -76, D
2013-09-12 12:14:38.946134, slv, 002215fffe2eecc9(unknown)/01,  0.000268825,  10.590634629, -10.590391245,  10.590903454, 0, -76, S
2013-09-12 12:14:39.586326, slv, 002215fffe2eecc9(unknown)/01,  0.000268881,  10.590634629, -10.590337591,  10.590903454, 0, -77, D
2013-09-12 12:14:39.946175, slv, 002215fffe2eecc9(unknown)/01,  0.000268881,  10.590657281, -10.590337591,  10.590926162, 0, -77, S
2013-09-12 12:14:40.836441, slv, 002215fffe2eecc9(unknown)/01,  0.000269339,  10.590657281, -10.590299039,  10.590926162, 0, -78, D
2013-09-12 12:14:40.946062, slv, 002215fffe2eecc9(unknown)/01,  0.000269339,  10.590602639, -10.590299039,  10.590871978, 0, -78, S
2013-09-12 12:14:41.523718, slv, 002215fffe2eecc9(unknown)/01,  0.000269712,  10.590602639, -10.590326008,  10.590871978, 0, -79, D
2013-09-12 12:14:41.585643, slv, 002215fffe2eecc9(unknown)/01,  0.000269940,  10.590602639, -10.590280383,  10.590871978, 0, -80, D
2013-09-12 12:14:41.946182, slv, 002215fffe2eecc9(unknown)/01,  0.000269940,  10.590646715, -10.590280383,  10.590916655, 0, -80, S
2013-09-12 12:14:42.946104, slv, 002215fffe2eecc9(unknown)/01,  0.000269940,  10.590554413, -10.590280383,  10.590824353, 0, -80, S
2013-09-12 12:14:42.961079, slv, 002215fffe2eecc9(unknown)/01,  0.000270169,  10.590554413, -10.590277399,  10.590824353, 0, -81, D
2013-09-12 12:14:43.898655, slv, 002215fffe2eecc9(unknown)/01,  0.000270048,  10.590554413, -10.590321261,  10.590824353, 0, -82, D
2013-09-12 12:14:43.945992, slv, 002215fffe2eecc9(unknown)/01,  0.000270048,  10.590478967, -10.590321261,  10.590749015, 0, -82, S
2013-09-12 12:14:44.946074, slv, 002215fffe2eecc9(unknown)/01,  0.000270048,  10.590514070, -10.590321261,  10.590784118, 0, -82, S
2013-09-12 12:14:45.524034, slv, 002215fffe2eecc9(unknown)/01,  0.000269703,  10.590514070, -10.590295049,  10.590784118, 0, -83, D
2013-09-12 12:14:45.835607, slv, 002215fffe2eecc9(unknown)/01,  0.000269410,  10.590514070, -10.590268907,  10.590784118, 0, -84, D
